,Car id,Brand info,Price,City,Description,make,model,variant,year,mileage,condition,fuel,color,vehicletransmission,doors,Drive train
41,1112528565,VOLKSWAGEN SAVEIRO 2018 MECANICO...,$ 41.900.000,"{'COUNTRY_id': '1000001', 'COUNTRY_name': 'Colombia', 'ADMIN_LEVEL_1_id': '2007005', 'ADMIN_LEVEL_1_name': 'Norte de Santander', 'ADMIN_LEVEL_3_id': '4069313', 'ADMIN_LEVEL_3_name': 'Cúcuta', 'SUBLOCALITY_LEVEL_1_id': '5307616', 'SUBLOCALITY_LEVEL_1_name': 'Lleras Restrepo'}","MARCA: VOLKSWAGEN 
VERSIÓN: SAVEIRO 
MODELO: 2018
MOTOR: 1.6 L, 4 cilindros, 16 válvulas
KILOMETRAJE: 87.400 Kms
TRANSMISION: Mecánico  
COLOR: Plata Sirius Metalico 
CARROCERÍA: PICK UP 
COMBUSTIBLE: Gasolina
DIRECCIÓN: Hidráulica
TIPO DE FRENO: Discos delanteros ventilados de tambor 

INTERIOR:
• vidrios eléctricos
• Retrovisores eléctricos  
• Bloqueo de vidrios y puertas
• Cojinería en vinil cuero color gris original de fábrica, asientos del conductor regulable en altura
• Bolsas de aire frontales
• Volante forrado en cuero 
• radio AM/FM  CD/MP3/ lector de tarjeta sd, USB

EXTERIOR:
• Logo en alto relieve cromado 
• Spoiler trasero, Exploradoras
• Faros de halógeno en luces altas led
• Faros de niebla delanteros
• Sensores y cama de reversa 

INFORMACIÓN ADICIONAL:
• Buen estado de conservación
• Placa terminada en 1 de Funza
• Soat hasta diciembre de 2022

PRECIO: $41.900.000 Negociables
Se recibe vehículo de mayor o menor valor.
Financiación: hasta 100% del valor comercial (aplican términos y condiciones)",VOLKSWAGEN,SAVEIRO,"MT 1.6L 99HP AA RC 15"" 2psj 4X2",2018,87.400 km,Usado,Gasolina,Plateado,Automática,4,4x2
42,1111825518,KIA NIRO EMOTION HIBRIDA 2023,$ 133.490.000,"{'COUNTRY_id': '1000001', 'COUNTRY_name': 'Colombia', 'ADMIN_LEVEL_1_id': '2007000', 'ADMIN_LEVEL_1_name': 'Bogotá', 'ADMIN_LEVEL_3_id': '4300117', 'ADMIN_LEVEL_3_name': 'Suba', 'SUBLOCALITY_LEVEL_1_id': '5306602', 'SUBLOCALITY_LEVEL_1_name': 'Potosí Sector I'}","MOTOR: 1.6L GDI 
Hibrido
NO enchufable con motores 1.6L 

sport mode
Transmisión Automática
de doble embrague con modo deportivo.

Capacidad
Un SUV
versátil para carga y pasajeros.

Tenemos los mejores planes financieros para que adquiera este vehículo, recibimos su usado en parte de pago de todas las marcas con la mayor garantía del mercado, permítanos asesorarle en todo el proceso y ofrecemos:

PLANDES DE FINANCIACION HASTA EL 100%.

Plan tradicional hasta 84 meses.

Plan 14 cuotas hasta 84 meses.

Periodo de gracia pague en el 2022.

Plan 50% 50%.

Plan héroes.

RECIBIMOS SU VEHICULO USADO SIN IMPORTAR LA MARCA AL MEJOR PRECIO DEL MERCADO.

Aplica condiciones y restricciones.",KIA,NIRO,"Emotion HBD 1.6L 2AB ABS RA 16"" 5P 4X2",2022,0 km,Nuevo,Híbrido,Blanco,Automática,5,4x2
43,1110318664,KIA PICANTO 2023 EMOTION  C/A,$ 49.390.000,"{'COUNTRY_id': '1000001', 'COUNTRY_name': 'Colombia', 'ADMIN_LEVEL_1_id': '2007000', 'ADMIN_LEVEL_1_name': 'Bogotá', 'ADMIN_LEVEL_3_id': '4300117', 'ADMIN_LEVEL_3_name': 'Suba', 'SUBLOCALITY_LEVEL_1_id': '5306602', 'SUBLOCALITY_LEVEL_1_name': 'Potosí Sector I'}","CONTAMOS CON LA MEJOR GARANTIA DEL MAERCADO 7 ÑOS O 150 MIL KILOMETROS.


Motor 1.0, 66 caballos de potencia, caja mecánica de 5 velocidades mas reversa, rin 13 de copa, aire acondicionado, comandos en el timón y computador abordo, vidrios eléctricos en las cuatro puertas bloqueo de vidrios para la segunda fila, espejos eléctricos, 2 airbag, aceros de ultra alta resistencia, frenos de disco delanteros con frenos ABS, radio de 9 pulgada K-Movie con cámara de reversa bluetooth, puerto USB, cargador de 12 voltios para el celular, 5 cinturones de seguridad de tres puntos, baúl con capacidad de 255 litros, sillas de la segunda fila abatibles 60% 40% o el 100%.

PLANES DE FINANCIACION HASTA EL 100%

Plan tradicional hasta 84 meses.
Plan 14 cuotas hasta 84 meses.
Periodos de gracia pague en 2022.
Plan 50% 50%.

RECIBOS TU USADO DE CUALQUIER MARCA AL MEJOR PRECIO DEL MERCADO.",KIA,PICANTO,,2022,0 km,Nuevo,Gasolina,Plateado,Mecánica,5,
44,1115254869,Ssanyoon action,$ 32.000.000,"{'COUNTRY_id': '1000001', 'COUNTRY_name': 'Colombia', 'ADMIN_LEVEL_1_id': '2007000', 'ADMIN_LEVEL_1_name': 'Bogotá', 'ADMIN_LEVEL_3_id': '4300109', 'ADMIN_LEVEL_3_name': 'Engativá', 'SUBLOCALITY_LEVEL_1_id': '5304788', 'SUBLOCALITY_LEVEL_1_name': 'Alamos Norte'}",Exelente camioneta  lista para traspaso inmediato,SSANGYONG,ACTYON SPORTS,2.3L 148HP AB DC,2011,104.000 km,Usado,Gasolina,Vinotinto,Mecánica,5,
45,1115653408,Audi A4 Excelente estado,$ 70.000.000,"{'COUNTRY_id': '1000001', 'COUNTRY_name': 'Colombia', 'ADMIN_LEVEL_1_id': '2007006', 'ADMIN_LEVEL_1_name': 'Santander', 'ADMIN_LEVEL_3_id': '4069353', 'ADMIN_LEVEL_3_name': 'Bucaramanga', 'SUBLOCALITY_LEVEL_1_id': '5302762', 'SUBLOCALITY_LEVEL_1_name': 'San Alonso'}","Vehículo en excelente estado, radio actualizado a Android, llantas con poco uso, cámara de reversa y cámaras de grabación adelante y atrás.",AUDI,A4,FL B8 TFSI Ambition MT 1.8L T 120HP 4X2,2015,72.000 km,Usado,Gasolina,Gris,Mecánica,4,4x2
46,1115653407,Mazda BT50 unico dueño 4x4,$ 60.000.000,"{'COUNTRY_id': '1000001', 'COUNTRY_name': 'Colombia', 'ADMIN_LEVEL_1_id': '2007005', 'ADMIN_LEVEL_1_name': 'Norte de Santander', 'ADMIN_LEVEL_3_id': '4069313', 'ADMIN_LEVEL_3_name': 'Cúcuta', 'SUBLOCALITY_LEVEL_1_id': '5307653', 'SUBLOCALITY_LEVEL_1_name': 'La Rinconada'}",Camioneta en muy buen estado lista para firmar impuestos pagos.,MAZDA,BT50,B25D47 MT 2.5L TD 4X4,2011,129.000 km,Usado,Gasolina,Gris,Mecánica,4,4x4
47,1109946343,CHERY VAN PASS 2 vendo permuto CON TRABAJO EXCELENTE ESTADO documentación al día,$ 26.500.000,"{'COUNTRY_id': '1000001', 'COUNTRY_name': 'Colombia', 'ADMIN_LEVEL_1_id': '2007000', 'ADMIN_LEVEL_1_name': 'Bogotá', 'ADMIN_LEVEL_3_id': '4300109', 'ADMIN_LEVEL_3_name': 'Engativá', 'SUBLOCALITY_LEVEL_1_id': '5304794', 'SUBLOCALITY_LEVEL_1_name': 'Alejandría'}","Vendo permuto CHERY VAN PASS 2 recién reparada BUEN ESTADO GAS Y GASOLINA, documentación al día, soat tecno pólizas  , seguro TODO RIESGO vigente hasta marzo 2023, CON TRABAJO DIURNO Y NOCTURNO según le convenga ESCOLAR, AEROPUERTO. Precio negociable, Proponga negocio.",CHERY,YOYA,Otros,2015,172.000 km,Usado,Gasolina y Gas,Blanco,Mecánica,5,
48,1115288337,Vendo stepway,$ 38.500.000,"{'COUNTRY_id': '1000001', 'COUNTRY_name': 'Colombia', 'ADMIN_LEVEL_1_id': '2007002', 'ADMIN_LEVEL_1_name': 'Antioquia', 'ADMIN_LEVEL_3_id': '4069120', 'ADMIN_LEVEL_3_name': 'Medellín', 'SUBLOCALITY_LEVEL_1_id': '5301301', 'SUBLOCALITY_LEVEL_1_name': 'La Avanzada'}",Vendo sandero stepway modelo 2014 unico dueño perfecto estado todo al dia listo para traspasos escucho oferta,RENAULT,STEPWAY,Trek/ Zen/ Trip Advisor MT 1.6L 16V VED 4X2,2014,82.000 km,Usado,Gasolina,Gris,Mecánica,5,4x2
49,1115291246,Vendo koleos,$ 44.800.000,"{'COUNTRY_id': '1000001', 'COUNTRY_name': 'Colombia', 'ADMIN_LEVEL_1_id': '2007002', 'ADMIN_LEVEL_1_name': 'Antioquia', 'ADMIN_LEVEL_3_id': '4069120', 'ADMIN_LEVEL_3_name': 'Medellín', 'SUBLOCALITY_LEVEL_1_id': '5301301', 'SUBLOCALITY_LEVEL_1_name': 'La Avanzada'}",Vendo renault koleos modelo 2011 4×4 muy buen estado todo al dia lista para traspasos escucho oferta techo cristal bose sillas en cuero,RENAULT,KOLEOS,Sportway R Link AT 2.5L TC CT RA18 4X4,2011,125.000 km,Usado,Gasolina,Gris,Automática,5,4x4
50,1115653383,Renault Megane ll Omega 2.0 Full version,$ 19.900.000,"{'COUNTRY_id': '1000001', 'COUNTRY_name': 'Colombia', 'ADMIN_LEVEL_1_id': '2007000', 'ADMIN_LEVEL_1_name': 'Bogotá', 'ADMIN_LEVEL_3_id': '4300117', 'ADMIN_LEVEL_3_name': 'Suba', 'SUBLOCALITY_LEVEL_1_id': '5306678', 'SUBLOCALITY_LEVEL_1_name': 'San José Del Prado'}","Renault Megane ll 2.0 versión Omega 2007
148.000 kms
Único Dueño
Cojineria en cuero
Luces Turbo Led automáticas
Sensores de lluvia
Aire acondicionado automático
Vidrios y retrovisores eléctricos
Sun Roof, 6 Air bags
No reportes, No siniestros
Detalles de pintura 
Soat y tecno para abril de 2023
Impuestos al día 
Listo para traspaso.
2 juegos de llaves
Placas de Bogota",RENAULT,MEGANE FII,Odeon AT 2.0L 2AB,2007,148.000 km,Usado,Gasolina,Azul,Automática,5,
